"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"Bull Manure 350","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","350","8.3","66.3","66.3","1.3","4","23.8","","","","","","","","","","","","","","","","","","133","","","3062","","","","58.7","","","","2644","10518","4277","24389","","322","",
"Bull Manure 400","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","400","9.4","67.9","68.5","1.2","3.5","17.4","","","","","","","","","","","","","","","","","","165","","","3089","","36.73","","37","","","","3119","10088","4841","28939","","256","",
"Bull Manure 450","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","450","9.3","71.5","71.5","1.1","3.3","15.6","","","","","","","","","","","","","","","","","","138","","","2927","","","","46.2","","","","2508","8450","4314","30405","","176","",
"Bull Manure 500","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","10.4","74.1","74.1","1.1","2.6","17.4","","","","","","","","","","","","","","","","","","167","","","3518","","26.44","","30.5","","","","3115","9432","4925","33477","","267","",
"Bull Manure 550","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","550","10.9","74.3","74.3","1.1","2.3","13.4","","","","","","","","","","","","","","","","","","320","","","3156","","","","39","","","","3064","11109","5218","32808","","417","",
"Bull Manure 600","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","600","10.6","76","76",".8","1.8","14.3","","","","","","","","","","","","","","","","","","193","","","2937","","33.55","","30","","","","2952","9386","5071","35820","","311","",
"Rice Husk","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","800","60.8","","","","","","",".3","","","","","","","","","","","","","","","","29","","","597","","","","23.2","","","","442","1637","835","6703","","29","",
"Carbonized Pine","Soft Wood","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","750","4","","","","","","",".5","","","","","","","","","","","","","","","","23","","","417","","","","18.7","","","","447","4702","1445","5391","","224","",
"Composted Dairy Manure","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","50.1","","37.8","2","","","10.3",".8","","","","","","","","","","","","","","","","172","","","1219","","","","33","","","","6011","38388","12534","12824","","9119","",
"Composed Dairy Manure+Wood","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","58.5","","74",".6","","","9.8",".5","","","","","","","","","","","","","","","","","","","","","","","25.7","","","","","","","","","","",
"Corn 300","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","300","10.7","59.9","59.9","7.3","4.5","24.8","7.3","1.7","","","","","","","","","","","","","","","","132","","","492","","75.28","","51.9","","","","1369","6480","5883","17052","","963","",
"Corn 350","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","350","11.4","65.2","65.2","1.2","3.8","23.2","","","","","","","","","","","","","","","","","","66","","","854","","","","48.9","","","","1889","6136","6307","21486","","558","",
"Corn 400","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","400","12.9","65.2","65.2","1.1","3.3","20.1","9.2","1.7","","","","","","","","","","","","","","","","49","","","904","","79.62","","44.7","","","","1812","7254","6583","20234","","897","",
"Corn 450","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","450","12.5","68.3","68.3","1.1","2.7","16.4","","","","","","","","","","","","","","","","","","64","","","1112","","","","42.7","","","","2148","7317","8031","25707","","815","",
"Corn 500","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","17.6","70.3","70.3","1.1","1.9","10.7","9.9","1.9","","","","","","","","","","","","","","","","72","","","1384","","51.66","","31.1","","","","1852","11699","9510","24817","","1063","",
"Corn 550","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","550","14","72.2","72.2","1","2.3","12.3","","","","","","","","","","","","","","","","","","82","","","778","","","","37.3","","","","2093","9804","8891","23929","","778","",
"Corn 600","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","600","16.7","68.7","70.7","1.1","2.3","9.3","10","2","","","","","","","","","","","","","","","","70","","","1539","","38.54","","23.5","","","","2114","9383","8582","24616","","1362","",
"Dairy Manure 300","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","300","10.1","61.5","61.5","1.6","4.5","22.6","","","","","","","","","","","","","","","","","","90","","","3270","","28.64","","45.4","","","","1152","11094","3934","8986","","208","",
"Dairy Manure 350","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","350","10.2","63.2","64.1","1.8","4.1","19.8","","","","","","","","","","","","","","","","","","98","","","3698","","","","58.4","","","","1810","10859","4278","10074","","317","",
"Dairy Manure 400","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653. ","","400","11.5","66","67.1","1.4","3.3","16.8","","","","","","","","","","","","","","","","","","87","","","3569","","17.53","","39.1","","","","1466","12808","4258","10345","","305","",
"Dairy Manure 450","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","450","11.7","69.1","70.1","1.5","3.1","13.6","","","","","","","","","","","","","","","","","","121","","","4009","","","","42.1","","","","2001","13473","5068","11756","","349","",
"Dairy Manure 500","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","12.4","72.5","72.5","1.4","2.6","12.9","",".6","","","","","","","","","","","","","","","","80","","","2223","","11.21","","33.9","","","","1754","12569","4610","9630","","396","",
"Dairy Manure 550","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","550","13.4","71.4","72.3","1.5","2.3","10.4","","","","","","","","","","","","","","","","","","142","","","4424","","","","41.8","","","","2358","25702","6357","13388","","754","",
"Dairy Manure 600","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","600","12.6","75.2","75.2","1.3","2.","11.6","","","","","","","","","","","","","","","","","","114","","","4538","","9.68","","30.7","","","","2433","13997","5366","13236","","398","",
"Digested Dairy Manure 300","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","300","39.2","","56.1","2.7","","","9",".6","","","","","","","","","","","","","","","","129","","","3808","","","","57.6","","","","5391","20185","8757","14954","","1710","",
"Digested Dairy Manure 350","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","350","12.7","","57.7","2.4","","","9.2","1.8","","","","","","","","","","","","","","","","","","","","","","","55.6","","","","","","","","","","",
"Digested Dairy Manure 400","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","400","14.5","","63.8","2.4","","","9.3",".6","","","","","","","","","","","","","","","","131","","","4405","","","","58.6","","","","6446","22552","9733","16604","","1656","",
"Digested Dairy Manure 450","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","450","17.8","","60.4","2.5","","","10.2","1.9","","","","","","","","","","","","","","","","","","","","","","","41.5","","","","","","","","","","",
"Digested  Dairy Manure 500","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","14.7","","59.4","2.6","","","9.7",".6","","","","","","","","","","","","","","","","224","","","3861","","","","42.7","","","","5649","18505","8498","14937","","2371","",
"Digested Dairy Manure 550","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653. ","","550","17.3","","60.9","2.2","","","10","1.9","","","","","","","","","","","","","","","","","","","","","","","41.8","","","","","","","","","","",
"Digested Dairy Manure 600","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","600","18.8","","62.8","2.2","","","10",".7","","","","","","","","","","","","","","","","200","","","5051","","","","39.4","","","","8269","26518","11744","20852","","2356","",
"Mixed Softwood","Soft Wood","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","5.6","","","","","","",".1","","","","","","","","","","","","","","","","34","","","371","","","","45.5","","","","56","3749","779","1103","","114","",
"Peanut","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","480","6.8","","","","","","",".5","","","","","","","","","","","","","","","","36","","","576","","","","45.6","","","","1986","4741","2478","16266","","1039","",
"Food 300","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","300","23.3","53.6","65.3","5.3","","","7.6","1.8","","","","","","","","","","","","","","","","49","","","9852","","","","45.4","","","","5874","28177","3337","13018","","2258","",
"Food 400","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","400","46","39.2","52.4","3.4","","","8.6","1.8","","","","","","","","","","","","","","","","39","","","9008","","","","35.7","","","","5007","51745","5341","14557","","4431","",
"Food 500","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","52.7","42","42","2.8","","","9.7","1.8","","","","","","","","","","","","","","","","64","","","13703","","","","33.7","","","","7524","53779","4461","21340","","2427","",
"Food 600","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","600","52","32","32","1.2","","","10.8","2.5","","","","","","","","","","","","","","","","64","","","14503","","","","34.5","","","","8150","73534","6567","27949","","5063","",
"Poultry Manure 2","Manure","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","600","58.4","","","","","","","7.5","","","","","","","","","","","","","","","","1193","","","13460","","","","37.7","","","","43344","76770","16906","70520","","3180","",
"Hazelnut 300","Nutshell","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","300","2","69.9","69.9",".5","3.9","23.7","6.3","1.5","","","","","","","","","","","","","","","","14","","","471","","5.89","","48.8","","","","397","3726","790","5166","","92","",
"Hazelnut 350","Nutshell","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","350","1.2","73.1","73.1",".5","3.7","23.3","","","","","","","","","","","","","","","","","","13","","","311","","","","56.1","","","","279","2580","496","4142","","57","",
"Hazelnut 400","Nutshell","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","400","1.7","77.2","77.2",".5","3.3","18.7","7.7","1.4","","","","","","","","","","","","","","","","10","","","488","","10.25","","43.5","","","","298","2821","554","4285","","29","",
"Hazelnut 450","Nutshell","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","450","1.3","","","","","","","","","","","","","","","","","","","","","","","5","","","244","","","","47","","","","277","2598","490","4748","","35","",
"Hazelnut 500","Nutshell","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","1.9","79.4","79.4",".5","2.9","16.8","8.6","1.5","","","","","","","","","","","","","","","","12","","","386","","11.79","","37.2","","","","348","2823","563","5121","","51","",
"PI200","Soft Wood","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","200","","","51.8",".27","6.2","39.6","","","","","","","","","","","","","","","","","","","","","","","","","",".8","","","","","","","","","",
"PI300","Soft Wood","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","300","","","63.8",".3","5.2","28.3","","","","","","","","","","","","","","","","","","","","","","","","","","1.13","","","","","","","","","",
"PI350","Soft Wood","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","350","","","68.3",".4","4.3","23.6","","","","","","","","","","","","","","","","","","","","","","","","","","2.03","","","","","","","","","",
"PI650","Soft Wood","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","650","","","83.8",".26",".003","","","","","","","","","","","","","","","","","","","","","","","","","","","81.7","","","","","","","","","",
"HM200","Hard Wood","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","200","","","47.2","1.29","6","39.3","","","","","","","","","","","","","","","","","","","","","","","","","",".58","","","","","","","","","",
"HM300","Hard Wood","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","300","","","62.1","1.6","4.7","22.2","","","","","","","","","","","","","","","","","","","","","","","","","","1.28","","","","","","","","","",
"HM350","Hard Wood","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","350","","","63.5","1.7","4.2","20.6","","","","","","","","","","","","","","","","","","","","","","","","","","1.82","","","","","","","","","",
"HM650","Hard Wood","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","650","","","72.6","1.47","1.8","8.5","","","","","","","","","","","","","","","","","","","","","","","","","","107","","","","","","","","","",
"Turkey Manure+Woodchips1","Other","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","850","89.1","","1.4",".1",".5","3","","","","","","","","","","","","","","","","","","","","","","","","","","4.78","","","","","","","","","",
"AGROCARBON-ABC-biochar","Other","","Commercial","European Union ","3R Environmental Technologies","low temperature carbonization ","No","http://www.agrocarbon.com ","4.7","550","","","9.9","1.8","","","7.58","","5 mm","Pass","0.37","<0.01","<0.01","<1","<1","4","2","5","<1","<1","0.01","18","<0.5","152","","","","","","","","85","","","133000","300000","6000","2000","24","63","EPA",
"Hazelnut 550","Nutshell","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","550","1.4","","","","","","","","","","","","","","","","","","","","","","","12","","","386","","","","41.7","","","","348","2823","563","348","","51","",
"Hazelnut 600","Nutshell","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","600","2.2","80.6","80.6",".5","3","14.5","8.8","1.6","","","","","","","","","","","","","","","","20","","","407","","5.63","","","","","","329","3262","587","5162","","42","",
"Corn 3","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","515","","84.6","84.6",".5","2.7","11.5","","","","","","","","","","","","","","","","","","52","","","413","","","","28.3","","","","1769","11384","5059","10101","","5709","",
"Grass Clippings 2","Grass","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","","8.8","","","","","","",".9","","","","","","","","","","","","","","","","19","","","1539","","","","23.5","","","","507","1317","1407","10794","","6798","",
"Mixed Vegetation","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","38.6","87.9","87.9",".5","2.3","10.9","",".1","","","","","","","","","","","","","","","","4","","","208","","","","31.6","","","","73","2912","255","1776","","474","",
"Kuikui","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.  ","","500","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.3","","","","","","","","","","",
"Macadamia","Other","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.","","500",".7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","","","",
"Corn 2","Corn stover","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.","","600","64.2","","29.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7","","","","","","","","","","",
"Oak 300","Hard Wood","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.","","300",".3","63.9","63.9",".1","4.8","30.8","4.2","3.1","","","","","","","","","","","","","","","","5","","","297","","41.37","","61.1","","","","6","752","46","725","","5","",
"Oak 350","Hard Wood","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.","","350","1.1","74.8","74.9",".2","3.4","20.4","","","","","","","","","","","","","","","","","","109","","","339","","","","60.8","","","","11","1097","41","1147","","1453","",
"Oak 400","Hard Wood","","Non commercial","","","","Yes","Enders et al., Bioresource Technology 114 (2012) 644-653.","","400",".8","75.5","78.8",".2","3.2","17.1","4.6","2.8","","","","","","","","","","","","","","","","33","","","321","","26.05","","40.9","","","","5","1061","61","1462","","169","",
